"uniqueID","Author.order","Author.name"
195,"Author.1","Becker-Weinberg, Vasco"
201,"Author.1","O'Leary, Bethan C."
201,"Author.2","Roberts, Callum M."
203,"Author.1","Barnes, Richard"
208,"Author.1","Gjerde, Kristina M."
208,"Author.2","Reeve, Lora L. Nordtvedt"
208,"Author.3","Harden-Davies, Harriet"
208,"Author.4","Ardron, Jeff"
208,"Author.5","Dolan, Ryan"
208,"Author.6","Durussel, Carole"
208,"Author.7","Earle, Sylvia"
208,"Author.8","Jimenez, Jorge A."
208,"Author.9","Kalas, Peggy"
208,"Author.10","Laffoley, Dan"
208,"Author.11","Oral, Nilufer"
208,"Author.12","Page, Richard"
208,"Author.13","Ribeiro, Marta Chantal"
208,"Author.14","Rochette, Julien"
208,"Author.15","Spadone, Aurelie"
208,"Author.16","Thiele, Torsten"
208,"Author.17","Thomas, Hannah L."
208,"Author.18","Wagner, Daniel"
208,"Author.19","Warner, Robin"
208,"Author.20","Wilhelm, Aulani"
208,"Author.21","Wright, Glen"
209,"Author.1","Nurbintoro, Gulardi"
209,"Author.2","Nugroho, Haryo Budi"
210,"Author.1","Blasiak, Robert"
210,"Author.2","Yagi, Nobuyuki"
224,"Author.1","Blasiak, Robert"
224,"Author.2","Pittman, Jeremy"
224,"Author.3","Yagi, Nobuyuki"
224,"Author.4","Sugino, Hiroaki"
226,"Author.1","Tladi, Dire"
242,"Author.1","Druel, Elisabeth"
242,"Author.2","Gjerde, Kristina M."
245,"Author.1","Houghton, Katherine"
245,"Author.2","Rochette, Julien"
248,"Author.1","Rochette, Julien"
248,"Author.2","Unger, Sebastian"
248,"Author.3","Herr, Dorothee"
248,"Author.4","Johnson, David"
248,"Author.5","Nakamura, Takehiro"
248,"Author.6","Packeiser, Tim"
248,"Author.7","Proelss, Alexander"
248,"Author.8","Visbeck, Martin"
248,"Author.9","Wright, Andrew"
248,"Author.10","Cebrian, Daniel"
249,"Author.1","Houghton, Katherine"
270,"Author.1","Ban, Natalie C."
270,"Author.2","Bax, Nicholas J."
270,"Author.3","Gjerde, Kristina M."
270,"Author.4","Devillers, Rodolphe"
270,"Author.5","Dunn, Daniel C."
270,"Author.6","Dunstan, Piers K."
270,"Author.7","Hobday, Alistair J."
270,"Author.8","Maxwell, Sara M."
270,"Author.9","Kaplan, David M."
270,"Author.10","Pressey, Robert L."
270,"Author.11","Ardron, Jeff A."
270,"Author.12","Game, Edward T."
270,"Author.13","Halpin, Patrick N."
271,"Author.1","Warner, Robin M."
277,"Author.1","Gjerde, Kristina M."
277,"Author.2","Currie, Duncan"
277,"Author.3","Wowk, Kateryna"
277,"Author.4","Sack, Karen"
294,"Author.1","Elferink, Alex G. Oude"
297,"Author.1","Gjerde, Kristina M."
297,"Author.2","Rulska-Domino, Anna"
305,"Author.1","Gjerde, Kristina M."
306,"Author.1","Scott, Karen N."
313,"Author.1","Freestone, David"
