"SWOT.Cats","Negotiation.phase","msg.number","Message"
"O II","PrepCom",121,"arrangements"
"O II","PrepCom",121,"development"
"O II","PrepCom",121,"review"
"O II","PrepCom",121,"reporting"
"O II","PrepCom",121,"process"
"O II","PrepCom",121,"provision"
"O II","PrepCom",121,"default"
"O II","PrepCom",121,"management"
"O II","PrepCom",121,"regime"
"O II","PrepCom",121,"gaps"
"O II","PrepCom",121,"geographical"
"O II","PrepCom",121,"coverage"
"O II","PrepCom",121,"rfmos"
"O II","PrepCom",121,"remain"
"O III","PrepCom",122,"promote"
"O III","PrepCom",122,"sustainable"
"O III","PrepCom",122,"seas"
"O III","PrepCom",122,"ecosystems"
"O III","PrepCom",122,"linking"
"O III","PrepCom",122,"resource"
"O III","PrepCom",122,"management"
"O III","PrepCom",122,"conservation"
"O II","PrepCom",123,"develop"
"O II","PrepCom",123,"science"
"O II","PrepCom",123,"diplomacy"
"O II","PrepCom",123,"ensure"
"O II","PrepCom",123,"ocean"
"O II","PrepCom",123,"science"
"O II","PrepCom",123,"unifying"
"O II","PrepCom",123,"focus"
"O III","PrepCom",124,"resolve"
"O III","PrepCom",124,"conflicts"
"O III","PrepCom",124,"involving"
"O III","PrepCom",124,"ccamlr"
"O III","PrepCom",124,"iuu"
"O III","PrepCom",124,"fishing"
"S III","PrepCom",125,"primary"
"S III","PrepCom",125,"responsibility"
"S III","PrepCom",125,"dealing"
"S III","PrepCom",125,"mpas"
"S III","PrepCom",125,"abnj"
"S III","PrepCom",125,"rests"
"S III","PrepCom",125,"jurisdiction"
"S III","PrepCom",125,"control"
"S III","PrepCom",125,"activities"
"S III","PrepCom",125,"affecting"
"S III","PrepCom",125,"biodiversity"
"S III","PrepCom",125,"abnj"
"O II","PrepCom",126,"achieve"
"O II","PrepCom",126,"unifying"
"O II","PrepCom",126,"focus"
"O II","PrepCom",126,"science"
"O II","PrepCom",126,"diplomacy"
"O II","PrepCom",127,"promote"
"O II","PrepCom",127,"coherence"
"O II","PrepCom",127,"complement"
"O II","PrepCom",127,"existing"
"O II","PrepCom",127,"relevant"
"O II","PrepCom",127,"legal"
"O II","PrepCom",127,"instruments"
"O II","PrepCom",127,"frameworks"
"O II","PrepCom",127,"relevant"
"O II","PrepCom",127,"global"
"O II","PrepCom",127,"regional"
"O II","PrepCom",127,"sectoral"
"O II","PrepCom",127,"bodies"
"S II","PrepCom",128,"duty"
"S II","PrepCom",128,"cooperate"
"S II","PrepCom",128,"marine"
"S II","PrepCom",128,"scientific"
"S II","PrepCom",128,"research"
"S II","PrepCom",128,"wide"
"S II","PrepCom",128,"range"
"S II","PrepCom",128,"purposes"
"S II","PrepCom",128,"including"
"S II","PrepCom",128,"protecting"
"S II","PrepCom",128,"preserving"
"S II","PrepCom",128,"marine"
"S II","PrepCom",128,"environment"
"S II","PrepCom",128,"funding"
"S II","PrepCom",128,"ocean"
"S II","PrepCom",128,"science"
"O I","PrepCom",129,"environmental"
"O I","PrepCom",129,"stewardship"
"O I","PrepCom",129,"ensure"
"O I","PrepCom",129,"balance"
"O I","PrepCom",129,"international"
"O I","PrepCom",129,"community"
"O I","PrepCom",129,"interfering"
"O I","PrepCom",129,"existing"
"O I","PrepCom",129,"legitimate"
"W I","PrepCom",130,"concept"
"W I","PrepCom",130,"sedentary"
"W I","PrepCom",130,"species"
"W I","PrepCom",130,"contained"
"W I","PrepCom",130,"unclos"
"W I","PrepCom",130,"inconsistent"
"W I","PrepCom",130,"focus"
"W I","PrepCom",130,"protection"
"W I","PrepCom",130,"biodiversity"
"W III","PrepCom",131,"context"
"W III","PrepCom",131,"mpas"
"W III","PrepCom",131,"provisions"
"W III","PrepCom",131,"unclos"
"W III","PrepCom",131,"conservation"
"W III","PrepCom",131,"marine"
"W III","PrepCom",131,"living"
"W III","PrepCom",131,"resources"
"W III","PrepCom",131,"including"
"W III","PrepCom",131,"fisheries"
"W III","PrepCom",131,"nature"
"W V","PrepCom",132,"undermine"
"W V","PrepCom",132,"existing"
"W V","PrepCom",132,"structures"
"W V","PrepCom",132,"offer"
"W V","PrepCom",132,"partial"
"W V","PrepCom",132,"solutions"
"W V","PrepCom",132,"ensuing"
"W V","PrepCom",132,"fragmentation"
"W V","PrepCom",132,"seas"
"W V","PrepCom",132,"fisheries"
"O I","PrepCom",133,"international"
"O I","PrepCom",133,"law"
"O I","PrepCom",133,"principles"
"O I","PrepCom",133,"standards"
"O I","PrepCom",133,"conservation"
"O I","PrepCom",133,"sustainable"
"O I","PrepCom",133,"marine"
"O I","PrepCom",133,"biodiversity"
"O I","PrepCom",133,"abnj"
"O I","PrepCom",133,"applicable"
"O I","PrepCom",133,"parties"
"O II","PrepCom",134,"colaborative"
"O II","PrepCom",134,"framework"
"O II","PrepCom",134,"regional"
"O II","PrepCom",134,"institutions"
"W I","PrepCom",135,"term"
"W I","PrepCom",135,"undermine"
"W I","PrepCom",135,"ambiguous"
"O VI","PrepCom",136,"strengths"
"O VI","PrepCom",136,"antartic"
