"SWOT","Negotiation.phase","msg.number","Message"
"O","PrepCom",46,"interpretation"
"O","PrepCom",46,"strengthen"
"O","PrepCom",46,"role"
"O","PrepCom",46,"existing"
"O","PrepCom",46,"institutions"
"O","PrepCom",47,"clarify"
"O","PrepCom",47,"relationship"
"O","PrepCom",47,"unclos"
"O","PrepCom",47,"antarctic"
"O","PrepCom",47,"treaty"
"O","PrepCom",47,"system"
"S","PrepCom",48,"coastal"
"S","PrepCom",48,"required"
"S","PrepCom",48,"due"
"S","PrepCom",48,"regard"
"S","PrepCom",48,"rights"
"S","PrepCom",48,"obligations"
"S","PrepCom",48,"carrying"
"S","PrepCom",48,"activities"
"S","PrepCom",48,"abnj"
"O","PrepCom",49,"identify"
"O","PrepCom",49,"lessons"
"O","PrepCom",49,"previous"
"O","PrepCom",49,"planning"
"O","PrepCom",49,"negotiation"
"O","PrepCom",49,"processes"
"O","PrepCom",49,"establish"
"O","PrepCom",49,"mpas"
"O","PrepCom",49,"abnj"
"W","PrepCom",50,"understand"
"W","PrepCom",50,"term"
"W","PrepCom",50,"undermine"
"W","PrepCom",50,"remarkably"
"W","PrepCom",50,"effects"
"S","PrepCom",51,"unclos"
"S","PrepCom",51,"framework"
"S","PrepCom",51,"international"
"S","PrepCom",51,"cooperation"
"S","PrepCom",51,"scientific"
"S","PrepCom",51,"research"
"S","PrepCom",51,"development"
"S","PrepCom",51,"transfer"
"S","PrepCom",51,"technology"
"S","PrepCom",52,"principle"
"S","PrepCom",52,"responsibility"
"S","PrepCom",52,"stewards"
"S","PrepCom",52,"global"
"S","PrepCom",52,"marine"
"S","PrepCom",52,"environment"
"S","PrepCom",52,"core"
"S","PrepCom",52,"operating"
"S","PrepCom",52,"principle"
"S","PrepCom",53,"mechanisms"
"S","PrepCom",53,"consideration"
"S","PrepCom",53,"coastal"
"S","PrepCom",53,"interfere"
"S","PrepCom",53,"rights"
"W","PrepCom",54,"address"
"W","PrepCom",54,"conservation"
"W","PrepCom",54,"sustainable"
"W","PrepCom",54,"marine"
"W","PrepCom",54,"biodiversity"
"W","PrepCom",54,"whilst"
"W","PrepCom",54,"time"
"W","PrepCom",54,"undermine"
"W","PrepCom",54,"current"
"W","PrepCom",54,"fisheries"
"W","PrepCom",54,"governance"
"W","PrepCom",54,"framework"
"S","PrepCom",55,"governance"
"S","PrepCom",55,"approach"
"S","PrepCom",55,"coordination"
"S","PrepCom",55,"integration"
"S","PrepCom",55,"abnj"
"S","PrepCom",55,"whilst"
"S","PrepCom",55,"remaining"
"S","PrepCom",55,"sufficiently"
"S","PrepCom",55,"flexible"
"S","PrepCom",55,"respond"
"S","PrepCom",55,"involved"
"O","PrepCom",56,"strengthen"
"O","PrepCom",56,"revive"
"O","PrepCom",56,"regional"
"O","PrepCom",56,"institutions"
"O","PrepCom",56,"initiatives"
"O","PrepCom",56,"biodiversity"
"O","PrepCom",56,"conservation"
"O","PrepCom",56,"national"
"O","PrepCom",56,"jurisdiction"
"O","PrepCom",57,"institutional"
"O","PrepCom",57,"task"
"O","PrepCom",57,"force"
"O","PrepCom",57,"develop"
"O","PrepCom",57,"coordinat"
"O","PrepCom",57,"common"
"O","PrepCom",57,"approaches"
"O","PrepCom",57,"establishment"
"O","PrepCom",57,"implementation"
"O","PrepCom",57,"elements"
"O","PrepCom",57,"programmes"
"O","PrepCom",57,"scientific"
"O","PrepCom",57,"criteria"
"O","PrepCom",57,"monitoring"
"O","PrepCom",57,"schemes"
"O","PrepCom",57,"management"
"O","PrepCom",57,"plans"
"W","PrepCom",58,"questions"
"W","PrepCom",58,"remain"
"W","PrepCom",58,"development"
