"uniqueID","Publication.Year","Negotiation.phase","SWOT.Cats","SWOT","Category","Message"
26,2020,"IGC","O II","O","II","The BBNJ agreement has significant potential to increase co-operation among existing marine governance organizations."
27,2020,"IGC","O I","O","I","Science-based management can be operationalised by enhancing the existing system through a more effective science-policy interface and a greater dissemination of knowledge."
30,2020,"IGC","O I","O","I","Indigenous caring for their environment is based on specific wordlviews, practices and information that can foster insights for governance."
33,2020,"IGC","W I","W","I","The term “not undermine” has been interpreted by some as excluding fishing from the agreement once fishing related issues are already handled by RMFOs."
37,2020,"IGC","S II","S","II","Under the UNCLOS the concept of “due regard' provides the general benchmark for addressing the relationship between coastal States and States carrying out activities in ABNJ."
38,2020,"IGC","S I","S","I","The agreement now includes a time duration for a proposed area and measures in proposals and also points to the scientific/technical body’s role in reviewing proposals."
41,2020,"IGC","O I","O","I","The ILBI is expected to include provisions to establish integral MPAs, incorporating all biotic and abiotic components, and benthic and pelagic MPAs."
54,2020,"IGC","O III","O","III","Incorporating a robust and transparent mechanism into the new instrument to establish effective ABMTs complementary measures in surrounding areas will help align management across sectors and address cumulative impacts."
57,2020,"IGC","O II","O","II","the BBNJ negotiations provide an opportunity for RFMOs to actively engage in the international fora and demonstrate their willingness to improve themselves."
68,2019,"IGC","O IV","O","IV","state-of-the-art technology can be used to conserve and sustain marine biodiversity and to clarify the level of protection afforded by ABMTs from scales of days to years and from local to global."
72,2019,"IGC","S III","S","III","Resilience-related concepts are included in the text."
74,2019,"IGC","T I","T","I","The vagueness and flexibility of the “should not undermine” concept leaves open the broader debate about the nature of any new BBNJ institutional architecture."
82,2019,"IGC","O I","O","I","Adoption of a global model, standards and guidelines for restrictions to the freedoms of the high seas."
84,2019,"IGC","S III","S","III","The concepts of restoration, remediation and reinstatement are referred in the draft text."
86,2019,"IGC","O VI","O","VI","Create funds to assist Least Developed Countries in attending the preparatory meetings."
90,2019,"IGC","W III","W","III","Fishing activities are not addressed."
92,2019,"IGC","O VI","O","VI","The needs of vulnerable communities dependent on marine resources are properly taken into account, and all can benefit from the conservation and sustainable use of marine biodiversity in ABNJ."
94,2019,"IGC","S II","S","II","Action is to be premised on two pillars, due regard for the sovereignty of all States and recognition that the problems of ocean space are closely interrelated and need to be considered as a whole."
101,2019,"IGC","W III","W","III","In the absence of an entity capable of driving implementation forward, existing governance gaps are likely to persist."
109,2019,"IGC","S I","S","I","State Parties have an obligation to employ best practice standards based upon the best available scientific evidence in decision-making and management of areas in need of enhanced protection such as the designation of MPAs."
110,2019,"IGC","T VI","T","VI","Facilitated access and utilization of the Area and the High Seas may cause negative impacts."
113,2019,"IGC","W I","W","I","There is a lack of unified criteria for the implementation of MPAs."
118,2019,"IGC","W III","W","III","Marine plastic pollution and ocean acidification were barely mentioned during the first session."
120,2018,"PrepCom","O VI","O","VI","to re-evaluate and enhance the capacity building apparatus for ocean management."
125,2018,"PrepCom","O V","O","V","to give states and relevant regional organizations the mandate to identify and submit MPA proposals, with management responsibility remaining at the regional level."
139,2018,"PrepCom","O II","O","II","to augment ecosystem-based management of fisheries in ABNJ through the definition of a common purpose, the provision of agreed governance principles, the formation of collaborative institutional arrangements, the development of a review and reporting process, and provision of a default management regime where gaps in geographical coverage by RFMOs remain."
145,2018,"PrepCom","O III","O","III","to promote sustainable high seas ecosystems by linking resource management to conservation."
147,2018,"PrepCom","O II","O","II","to develop science diplomacy in order to ensure that ocean science is a unifying focus of the new agreement."
158,2018,"PrepCom","O III","O","III","to resolve the conflicts involving CCAMLR and IUU Fishing."
159,2018,"PrepCom","S III","S","III","the primary responsibility for dealing with MPAs in ABNJ rests on States under whose jurisdiction or control activities affecting biodiversity in ABNJ take place."
161,2018,"PrepCom","O II","O","II","to achieve an unifying focus through science diplomacy."
162,2018,"PrepCom","O II","O","II","to promote coherence with and complement existing relevant legal instruments and frameworks and relevant global regional and sectoral bodies"
164,2018,"PrepCom","S II","S","II","There is a duty to cooperate in marine scientific research for a wide range of purposes, including protecting and preserving the marine environment and funding ocean science."
165,2018,"PrepCom","O I","O","I","to use environmental stewardship to ensure a balance among the interests of the international community without interfering with existing, legitimate uses."
166,2018,"PrepCom","W I","W","I","the concept of sedentary species contained in UNCLOS is inconsistent with the focus on the protection of biodiversity"
