"Category","Negotiation.phase","msg.number","Message"
"I","IGC",371,"battle"
"I","IGC",371,"mare"
"I","IGC",371,"liberum"
"I","IGC",371,"chm"
"I","IGC",371,"threaten"
"I","IGC",371,"treaty"
"I","IGC",371,"effort"
"I","IGC",371,"governance"
"I","IGC",371,"oceans"
"II","IGC",372,"maritime"
"II","IGC",372,"powers"
"II","IGC",372,"united"
"II","IGC",372,"united"
"II","IGC",372,"kingdom"
"II","IGC",372,"soviet"
"II","IGC",372,"union"
"II","IGC",372,"preferred"
"II","IGC",372,"application"
"II","IGC",372,"freedom"
"II","IGC",372,"seas"
"II","IGC",372,"principle"
"II","IGC",372,"continue"
"II","IGC",372,"exploiting"
"II","IGC",372,"ocean"
"II","IGC",372,"spaces"
"II","IGC",372,"resources"
"I","IGC",373,"lacks"
"I","IGC",373,"elaboration"
"I","IGC",373,"principles"
"I","IGC",373,"operationalized"
"II","IGC",374,"divergences"
"II","IGC",374,"traditional"
"II","IGC",374,"knowledge"
"II","IGC",374,"designate"
"II","IGC",374,"mpas"
"II","IGC",375,"continue"
"II","IGC",375,"express"
"II","IGC",375,"reservations"
"II","IGC",375,"instrument"
"II","IGC",375,"arguing"
"II","IGC",375,"strengthening"
"II","IGC",375,"implementation"
"II","IGC",375,"existing"
"II","IGC",375,"instruments"
"II","IGC",375,"sufficient"
"III","IGC",376,"included"
"III","IGC",376,"solid"
"III","IGC",376,"legal"
"III","IGC",376,"basis"
"III","IGC",376,"establishment"
"III","IGC",376,"sui"
"III","IGC",376,"generis"
"III","IGC",376,"liability"
"III","IGC",376,"compensation"
"III","IGC",376,"regime"
"III","IGC",376,"aligned"
"III","IGC",376,"proposed"
"III","IGC",376,"rules"
"III","IGC",376,"abmts"
"III","IGC",376,"eias"
"VI","IGC",377,"reputable"
"VI","IGC",377,"environmental"
"VI","IGC",377,"organizations"
"V","IGC",378,"implementation"
"V","IGC",378,"decision"
"V","IGC",378,"body"
"V","IGC",378,"role"
"V","IGC",378,"interpretation"
"V","IGC",378,"application"
"V","IGC",378,"unclos"
"II","IGC",379,"regular"
"II","IGC",379,"conference"
"II","IGC",379,"parties"
"II","IGC",379,"overcome"
"II","IGC",379,"obstacles"
"II","IGC",379,"cooperation"
"II","IGC",379,"allowing"
"II","IGC",379,"delineate"
"II","IGC",379,"precisely"
"II","IGC",379,"party"
"II","IGC",379,"expected"
"II","IGC",379,"provide"
"II","IGC",379,"clarity"
