PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
2;507;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
2;508;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
2;513;1.092738669;0.467400701;2;0.780069685;0.780069685
2;514;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
2;522;0.108686373;0.467400701;2;0.288043537;0.288043537
2;524;;0.467400701;1;;0.467400701
2;525;-0.383339775;;1;;-0.383339775
2;527;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;528;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
2;535;;0.467400701;1;;0.467400701
2;537;-0.383339775;-1.041469612;2;-0.712404693;-0.712404693
2;538;0.600712521;;1;;0.600712521
2;544;-0.383339775;-1.795904768;2;-1.089622271;-1.089622271
2;546;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
2;552;;-1.795904768;1;;-1.795904768
2;558;1.092738669;1.221835857;2;1.157287263;1.157287263
3;1;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;3;0.108686373;;1;;0.108686373
3;4;;-1.041469612;1;;-1.041469612
3;6;0.600712521;;1;;0.600712521
3;11;0.600712521;0.467400701;2;0.534056611;0.534056611
3;13;0.108686373;0.467400701;2;0.288043537;0.288043537
3;14;0.108686373;;1;;0.108686373
3;15;0.600712521;-1.795904768;2;-0.597596123;-0.597596123
3;17;0.600712521;-0.287034455;2;0.156839033;0.156839033
3;19;;0.467400701;1;;0.467400701
3;20;0.108686373;0.467400701;2;0.288043537;0.288043537
3;21;0.600712521;-0.287034455;2;0.156839033;0.156839033
3;23;-0.383339775;-1.041469612;2;-0.712404693;-0.712404693
3;24;1.584764818;1.221835857;2;1.403300337;1.403300337
3;25;;1.221835857;1;;1.221835857
3;26;0.600712521;0.467400701;2;0.534056611;0.534056611
3;28;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
3;29;1.092738669;1.221835857;2;1.157287263;1.157287263
3;30;-0.875365923;;1;;-0.875365923
3;31;0.600712521;0.467400701;2;0.534056611;0.534056611
3;32;1.584764818;0.467400701;2;1.026082759;1.026082759
3;34;0.108686373;;1;;0.108686373
3;35;-0.875365923;1.221835857;2;0.173234967;0.173234967
3;36;-0.875365923;-1.795904768;2;-1.335635346;-1.335635346
3;37;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
3;40;;1.221835857;1;;1.221835857
3;81;;0.467400701;1;;0.467400701
3;82;;-1.041469612;1;;-1.041469612
3;84;0.600712521;0.467400701;2;0.534056611;0.534056611
3;85;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;87;;-1.041469612;1;;-1.041469612
3;88;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;90;0.108686373;0.467400701;2;0.288043537;0.288043537
3;91;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
3;93;;0.467400701;1;;0.467400701
3;94;1.092738669;0.467400701;2;0.780069685;0.780069685
3;95;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
3;96;0.600712521;0.467400701;2;0.534056611;0.534056611
3;97;0.600712521;0.467400701;2;0.534056611;0.534056611
3;99;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
3;100;;0.467400701;1;;0.467400701
3;102;;0.467400701;1;;0.467400701
