PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
3;103;1.584764818;2.73070617;2;2.157735494;2.157735494
3;104;3.060843262;1.221835857;2;2.14133956;2.14133956
3;105;;0.467400701;1;;0.467400701
3;107;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;108;;0.467400701;1;;0.467400701
3;112;-0.383339775;1.221835857;2;0.419248041;0.419248041
3;113;;0.467400701;1;;0.467400701
3;114;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
3;115;;1.221835857;1;;1.221835857
3;116;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;117;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;157;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;158;;-1.041469612;1;;-1.041469612
3;159;;-1.041469612;1;;-1.041469612
3;160;0.600712521;;1;;0.600712521
3;161;;1.221835857;1;;1.221835857
3;162;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
3;163;0.108686373;0.467400701;2;0.288043537;0.288043537
3;166;0.108686373;;1;;0.108686373
3;167;-0.875365923;0.467400701;2;-0.203982611;-0.203982611
3;168;;1.221835857;1;;1.221835857
3;169;1.092738669;0.467400701;2;0.780069685;0.780069685
3;170;;1.221835857;1;;1.221835857
3;171;0.108686373;;1;;0.108686373
3;172;-1.367392072;;1;;-1.367392072
3;173;;-1.041469612;1;;-1.041469612
3;174;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;175;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;176;1.092738669;;1;;1.092738669
3;177;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;178;0.108686373;;1;;0.108686373
3;179;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
3;180;;0.467400701;1;;0.467400701
3;181;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;182;0.108686373;0.467400701;2;0.288043537;0.288043537
3;183;1.092738669;0.467400701;2;0.780069685;0.780069685
3;184;;0.467400701;1;;0.467400701
3;185;1.584764818;0.467400701;2;1.026082759;1.026082759
3;186;0.600712521;0.467400701;2;0.534056611;0.534056611
3;187;-0.875365923;-1.795904768;2;-1.335635346;-1.335635346
3;188;;-1.041469612;1;;-1.041469612
3;189;1.092738669;0.467400701;2;0.780069685;0.780069685
3;190;1.092738669;1.221835857;2;1.157287263;1.157287263
3;228;0.108686373;;1;;0.108686373
3;229;0.108686373;0.467400701;2;0.288043537;0.288043537
3;231;0.108686373;;1;;0.108686373
3;232;;0.467400701;1;;0.467400701
