"","SWOT","index","sentiment"
"211","O",447,1
"212","O",449,4
"213","O",450,2
"214","O",452,1
"215","O",453,3
"216","O",455,2
"217","O",457,1
"218","O",458,2
"219","O",459,2
"220","O",464,3
"221","O",466,1
"222","O",468,-2
"223","O",469,-3
"224","O",470,2
"225","O",474,0
"226","O",475,2
"227","O",478,1
"228","O",480,-2
"229","O",485,-2
"230","O",493,2
"231","O",495,1
"232","O",496,2
"233","O",500,-1
"234","O",502,5
"235","O",503,-3
"236","O",507,-3
"237","O",513,3
"238","O",516,2
"239","O",517,-3
"240","O",525,0
"241","O",532,-4
"242","O",541,1
"243","O",543,2
"244","O",555,2
"245","O",557,1
"246","O",560,1
"247","O",561,2
"248","O",562,1
"249","O",564,1
"250","O",565,-3
"251","O",566,6
"252","O",567,2
"253","O",568,2
"254","O",570,1
"255","O",571,2
"256","O",574,-2
"257","O",575,-2
"258","O",579,-1
"259","O",581,2
"260","O",583,2
"261","O",584,2
"262","O",587,1
"263","O",589,-2
"264","O",590,1
"265","O",591,1
"266","O",592,1
"267","O",594,1
"268","O",596,3
"269","T",80,2
"270","T",88,-2
"271","T",107,-2
"272","T",116,-2
"273","T",157,-1
"274","T",162,-2
"275","T",174,-1
"276","T",178,1
"277","T",179,1
"278","T",181,-2
"279","T",223,-1
"280","T",234,-1
"281","T",245,0
"282","T",250,1
"283","T",270,0
"284","T",280,1
"285","T",281,-2
"286","T",293,0
"287","T",326,0
"288","T",338,2
"289","T",347,-2
"290","T",366,-1
"291","T",368,-1
"292","T",372,2
"293","T",375,2
"294","T",384,2
"295","T",386,-2
"296","T",396,-3
"297","T",404,-1
"298","T",407,-2
"299","T",419,-2
"300","T",429,-2
"301","T",436,-2
"302","T",440,-2
"303","T",454,1
"304","T",463,-1
"305","T",471,-1
"306","T",473,2
"307","T",484,2
"308","T",491,1
"309","T",492,-2
"310","T",497,-1
"311","T",504,-1
"312","T",508,-1
"313","T",514,-1
"314","T",522,1
"315","T",527,-2
"316","T",528,-2
"317","T",537,0
"318","T",538,2
"319","T",544,0
"320","T",558,3
"321","T",569,-4
"322","T",573,-3
"323","T",577,-4
"324","T",582,-1
"325","T",585,1
"326","T",588,-2
"327","T",595,1
"328","T",597,-1
"329","T",600,2
"330","T",602,-2
"331","T",603,3
"332","T",605,-2
"333","T",606,1
"334","T",607,1
"335","T",608,-2
